GeneID	Measurement 1	Measurement 2
Gene211	1.026396	0.891701
Gene212	1.029217	1.015752
Gene213	1.078175	0.85336
Gene214	1.040401	1.067355
Gene215	0.967457	1.036253
Gene216	0.962614	1.060654
Gene217	0.970573	1.007419
Gene218	0.828211	1.108052
Gene219	0.994607	0.933758
Gene220	1.021786	1.04754
Gene221	1.217323	1.124428
Gene222	1.057242	1.002964
Gene223	1.081501	1.06917
Gene224	0.892115	0.93144
Gene225	0.94201	0.995687
Gene226	0.812428	0.845235
Gene227	1.091749	0.892819
Gene228	0.945306	0.977891
Gene229	0.939489	0.832423
Gene230	1.002527	0.830186
Gene231	1.026149	0.989148
Gene232	1.074349	0.969923
Gene233	0.9838	0.863168
Gene234	1.043571	1.073774
Gene235	1.086127	0.959568
Gene236	1.006408	1.085678
Gene237	0.827274	1.334371
Gene238	1.071604	1.062645
Gene239	1.003663	1.12796
Gene240	0.981513	0.925876
Gene241	0.918526	1.103411
Gene242	1.098997	0.938178
Gene243	0.821831	1.042376
Gene244	0.995597	1.089489
Gene245	1.089021	0.976252
Gene246	0.954386	0.987206
Gene247	0.80963	1.101948
Gene248	0.960789	1.174843
Gene249	0.8893	1.098746
Gene250	1.175748	0.957992
Gene251	0.899899	0.977537
Gene252	0.742671	1.236008
Gene253	0.768524	0.95888
Gene254	1.439302	1.19094
Gene255	1.327552	1.473419
Gene256	0.934958	0.990732
Gene257	1.425978	1.094897
Gene258	1.188056	1.595431
Gene259	1.666455	0.806489
Gene260	0.612281	1.093983
Gene261	1.351096	1.477711
Gene262	0.646342	0.708045
Gene263	0.829631	0.655678
Gene264	1.35319	0.55465
Gene265	1.067713	0.710174
Gene266	1.227282	0.988103
Gene267	0.745489	0.363415
Gene268	1.557856	0.449074
Gene269	0.989213	0.537396
Gene270	1.777454	0.929381
Gene271	0.792621	1.359826
Gene272	0.52704	0.990048
Gene273	0.816961	0.83759
Gene274	1.113009	0.979776
Gene275	1.381845	1.676803
Gene276	0.822471	1.06371
Gene277	1.67488	1.056522
Gene278	0.995103	1.085422
Gene279	1.220726	0.541128
Gene280	0.807744	0.288929
Gene281	1.433303	0.390379
Gene282	0.652297	1.366075
Gene283	1.205893	0.890564
Gene284	1.219121	0.810171
Gene285	1.154352	0.933234
Gene286	1.508747	1.054174
Gene287	0.797101	1.269133
Gene288	2.023827	0.630853
Gene289	0.881577	1.037612
Gene290	1.361761	1.242216
Gene291	1.092341	0.680396
Gene292	0.854071	0.397265
Gene293	0.900691	1.07295
Gene294	1.233007	1.044839
Gene295	0.900195	1.782336
Gene296	1.628904	0.984034
Gene297	1.116636	0.99559
Gene298	0.804245	0.844981
Gene299	0.982971	1.362195
Gene300	1.12676	1.033237
