"Probe.set"	"Name"	"GB.acc"	"Symbol"	"Cytoband"	"C_1"	"C_2"	"C_3"	"C_4"	"C_5"	"C_6"	"C_7"	"C_8"	"C_9"	"C_10"	"C_11"	"C_12"	"C_13"	"C_14"	"DMD_4"	"DMD_5"	"DMD_6"	"DMD_7"	"DMD_10"	"DMD_11"	"DMD_12"	"DMD_13"	"DMD_14"	"DMD_15"	"DMD_16"	"DMD_17"	"DMD_18"	"DMD_19"	"DMD_20"	"DMD_21"	"DMD_22"	"DMD_23"	"DMD_24"
"12"	"200085_s_at"	"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"	"NM_007108"	"TCEB2"	"Chr:16p12.3"	9.7787323	10.47875309	9.949520111	9.935263634	10.01478863	9.651976585	10.14753151	9.532532692	8.761630058	9.768065453	9.677056313	9.379920959	9.307505608	8.934502602	9.929887772	9.077869415	9.435387611	9.695750237	9.698974609	9.665828705	9.615123749	9.962816238	10.00896931	9.646174431	10.13176632	9.293376923	10.15500927	10.2574625	8.710292816	10.0662117	9.443903923	8.728285789	9.266044617
"13"	"200595_s_at"	"eukaryotic translation initiation factor 3, subunit A"	"NM_003750"	"EIF3A"	"Chr:10q26"	7.099211216	8.444417953	7.363054276	7.962636948	8.397341728	7.012748241	8.088541985	8.629756927	6.86916399	8.606238365	8.257821083	8.155955315	8.10752964	7.460052967	8.108433723	8.372256279	8.158298492	7.746264458	6.841258526	7.260375023	8.746357918	8.045913696	7.576638222	8.357520103	7.98294735	6.504617214	7.617467403	8.365098	7.441277981	7.94423151	8.293384552	7.02364254	7.690350056
"14"	"200599_s_at"	"heat shock protein 90kDa beta (Grp94), member 1"	"NM_003299"	"HSP90B1"	"Chr:12q24.2-q24.3"	7.932592392	8.062914848	8.162834167	8.273404121	8.633073807	7.58998394	7.944977283	8.162065506	7.3757658	8.493299484	7.898126602	8.18075943	8.563721657	7.077624798	9.02305603	9.035819054	8.845503807	8.336089134	8.272573471	8.350912094	9.312561989	8.483845711	8.783686638	9.217823029	8.790201187	7.966808796	9.443257332	8.797458649	8.85263443	8.907552719	8.782025337	8.165699005	8.379031181
"15"	"200600_at"	"moesin"	"NM_002444"	"MSN"	"Chr:Xq11.2-q12"	7.272809982	8.022614479	7.749864578	7.040560246	8.327101707	6.910069466	7.351198196	8.296713829	7.223661423	7.895915985	8.007606506	7.666257858	8.628429413	7.025660038	8.617572784	9.064691544	8.375235558	7.835566044	7.916810036	8.166779518	9.136072159	8.009094238	8.556196213	9.130829811	8.325772285	7.921267986	8.855901718	8.485135078	8.587498665	8.601563454	8.853070259	7.777167797	8.321144104
"16"	"200603_at"	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	"AL050038"	"PRKAR1A"	"Chr:17q23-q24"	7.824111462	10.02260399	8.949174881	10.20212936	9.689263344	8.525969505	9.472245216	10.09405804	8.815134048	9.768374443	9.604647636	9.759437561	9.51658535	8.691785812	9.300924301	10.23495102	10.58952904	9.491215706	8.607854843	8.924037933	10.32028389	9.883911133	9.057950974	9.752061844	8.948787689	7.727946758	9.399845123	9.27392292	9.669754028	9.22022438	9.70567131	9.127882957	9.876259804
"17"	"200604_s_at"	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	"M18468"	"PRKAR1A"	"Chr:17q23-q24"	8.642108917	7.884981632	8.371968269	9.741969109	8.290225983	7.186058521	8.371968269	8.297832489	8.094394684	8.182789803	7.992213726	8.750203133	8.307089806	7.698869705	8.333440781	9.184305191	9.841121674	7.977035522	8.189257622	8.618209839	8.453873634	8.427218437	8.639343262	8.109916687	8.978627205	7.73003912	9.148875237	8.915739059	8.849416733	8.393676758	8.557930946	8.249283791	9.156000137
"18"	"200605_s_at"	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	"NM_002734"	"PRKAR1A"	"Chr:17q23-q24"	9.26216507	9.773465157	9.683403969	10.92464733	10.12385464	8.407957077	9.86512661	10.17828178	9.31565094	9.544410706	9.520766258	10.1981144	9.90455246	9.006851196	9.805553436	10.37726021	11.06560898	9.491950035	8.805907249	9.391592979	10.51034546	10.14167309	9.665781021	9.834880829	9.395133972	7.832573414	9.707280159	9.866691589	10.32150078	9.366110802	10.17705536	9.502254486	10.24862003
"19"	"200608_s_at"	"RAD21 homolog (S. pombe)"	"NM_006265"	"RAD21"	"Chr:8q24"	6.60835886	7.012720585	6.974494934	6.374947071	7.554620743	7.051057816	7.379475117	7.942490578	6.788927078	7.659189224	7.954129696	7.576731205	7.713899136	6.554085732	7.275384903	7.97804451	7.659938335	7.144693375	6.579672337	6.880497932	8.361083031	7.563617706	6.427306652	7.373628139	7.056834221	5.813584328	6.723856449	7.298176765	7.152153969	6.996931076	7.291041851	6.44348526	6.836304188
"20"	"200625_s_at"	"CAP, adenylate cyclase-associated protein 1 (yeast)"	"NM_006367"	"CAP1"	"Chr:1p34.2"	8.268198013	8.60326004	8.641089439	7.594720364	8.716706276	7.651725769	8.178686142	8.398343086	8.022471428	8.476750374	8.573257446	8.329389572	8.979543686	7.50568819	9.051426888	9.090812683	8.825266838	8.388384819	8.716706276	8.743506432	9.658917427	8.92762661	9.059077263	9.274018288	8.691242218	8.716706276	9.348582268	8.914401054	9.041820526	8.943305969	9.007123947	8.260380745	8.073233604
"21"	"200634_at"	"profilin 1"	"NM_005022"	"PFN1"	"Chr:17p13.3"	8.970028877	10.28977871	9.651247978	9.413157463	10.19204617	8.489957809	9.181245804	9.62583065	8.188391685	9.331995964	9.647175789	9.73658371	10.17781162	8.663250923	10.45427608	10.29867172	10.45001507	10.05684662	9.970222473	9.749844551	10.66291714	9.79283905	10.44159317	10.69056034	10.8089962	9.525680542	10.963974	10.29176617	9.793999672	10.6051302	10.38853741	9.563169479	10.0525589
"22"	"200638_s_at"	""	"BC003623"	""	""	7.004487991	7.021724224	7.208631516	6.867082119	7.856879234	7.018364906	7.022763729	8.047974586	6.954080105	7.414125919	7.895447731	7.956210136	8.279998779	7.073979855	8.238996506	9.085914612	8.781341553	7.23618412	7.408088207	7.399389744	8.927121162	7.09907341	8.063202858	8.54658699	8.44689846	6.810043335	8.427828789	7.787064075	8.160103798	8.242545128	8.00087738	7.19201088	8.168465614
"23"	"200639_s_at"	""	"NM_003406"	""	""	8.234613419	8.654657364	8.510731697	7.810585499	8.994009972	7.165201187	8.359571457	8.921852112	7.236808777	8.773200035	8.589875221	8.656346321	9.097050667	7.817370415	9.229340553	9.608196259	9.002947807	8.435425758	8.587366104	8.440594673	9.560944557	8.696224213	8.533779144	9.348309517	8.767536163	8.083180428	8.945727348	8.569286346	8.894623756	9.217329025	9.439791679	8.466235161	8.782956123
"24"	"200641_s_at"	""	"U28964"	""	""	7.993665218	7.400006771	8.063014984	7.842273235	7.966777325	7.430774212	7.827732086	7.80091095	7.488991261	7.326842308	7.838732719	7.993665218	8.391197205	7.638761997	8.15169239	8.664294243	8.781389236	7.355570316	8.433463097	8.170373917	8.222634315	7.899582386	8.675580978	7.923886776	8.639840126	7.692900658	8.745381355	8.580964088	8.094334602	8.706834793	7.294746399	7.59484005	8.616744995
"25"	"200647_x_at"	""	"NM_003752"	""	""	10.01083183	10.4839716	8.914358139	10.12769318	10.49196053	9.671290398	10.16078377	9.804091454	9.153490067	10.64993954	10.11854362	9.9845047	9.972229958	9.952421188	10.52482986	9.866635323	9.906913757	9.73768425	9.06204319	9.517142296	10.86363697	9.77494812	9.844481468	9.906913757	9.883978844	9.440983772	10.11175823	9.868495941	9.651901245	10.23944855	10.60778236	9.413990021	9.444565773
"26"	"200648_s_at"	"glutamate-ammonia ligase (glutamine synthetase)"	"NM_002065"	"GLUL"	"Chr:1q31"	9.752970695	10.55965137	10.20969772	10.04379082	10.66623116	9.885624886	11.56517029	9.844596863	9.623691559	10.0083065	10.26419163	10.54707623	9.350329399	10.0661068	8.786375046	9.244719505	8.940179825	8.518509865	9.537602425	8.69448185	8.932556152	10.13384914	8.516566277	8.957223892	8.398653984	8.033923149	8.719524384	11.28453732	8.355326653	9.150884628	8.827169418	8.442985535	8.788220406
"27"	"200650_s_at"	"lactate dehydrogenase A"	"NM_005566"	"LDHA"	"Chr:11p15.4"	10.539114	10.6495266	11.5073452	12.319417	12.13561344	12.19901657	11.7757473	11.8086586	10.33455658	11.22672558	12.28390503	12.03312111	12.53743839	11.89312077	11.89056492	12.31964779	12.01337051	11.94389057	10.53326607	11.47572041	12.06280708	11.15135479	11.48905182	11.92040634	11.99600315	10.73365402	12.1394968	11.32725334	12.21086025	12.26248837	11.91302109	11.66394711	12.4931469
"28"	"200653_s_at"	"calmodulin 1 (phosphorylase kinase, delta)"	"M27319"	"CALM1"	"Chr:14q24-q31"	8.471040726	9.012985229	8.654348373	10.61225986	9.50552845	9.50388813	8.534337997	9.746980667	8.654444695	9.94499588	9.993143082	10.41097355	10.12224197	9.495127678	10.10515881	9.975257874	9.565705299	9.262270927	9.210634232	8.620244026	10.43634987	9.498555183	9.498555183	9.750044823	9.720666885	8.35491848	9.566030502	9.162494659	10.04174328	9.257411957	9.84257412	9.284675598	9.99605751
"29"	"200655_s_at"	"calmodulin 1 (phosphorylase kinase, delta)"	"NM_006888"	"CALM1"	"Chr:14q24-q31"	8.003091812	9.112877846	8.733754158	10.37907028	9.432785034	9.559379578	8.887004852	9.418876648	8.555210114	9.839193344	9.956648827	9.851405144	9.888834953	9.361207962	9.704579353	10.23842812	9.417713165	9.313907623	9.44933033	8.576635361	10.09341812	9.26257515	9.431073189	9.836116791	9.812281609	8.301566124	9.73603344	9.428009987	9.465606689	9.45863533	9.853610992	8.897753716	9.630502701
"30"	"200657_at"	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	"NM_001152"	"SLC25A5"	"Chr:Xq24-q26"	8.568790436	9.248042107	8.793706894	7.819112301	8.965395927	8.476301193	8.795022011	8.711762428	8.283675194	8.298082352	8.824081421	8.422709465	9.269286156	7.941106796	9.623287201	9.510843277	9.210824966	9.313776016	9.225862503	9.31144619	9.699726105	9.016604424	9.285000801	9.622438431	9.883467674	8.491221428	10.09779358	9.22668457	9.12671566	9.746826172	9.336824417	8.744544029	9.332419395
"31"	"200660_at"	"S100 calcium binding protein A11"	"NM_005620"	"S100A11"	"Chr:1q21"	7.056162834	6.851101875	7.267335892	6.507493019	7.571275711	6.514734745	6.865756035	7.252195358	6.467524052	6.970554829	7.316059113	6.985511303	7.985784531	6.710851669	8.522363663	8.438307762	8.290229797	7.874655247	8.003149986	8.040027618	8.458342552	7.570128441	8.293720245	8.757705688	8.642303467	7.738626957	9.831967354	7.962423325	8.183109283	8.955163002	8.592447281	7.343370438	7.922591686
"32"	"200662_s_at"	"translocase of outer mitochondrial membrane 20 homolog (yeast)"	"NM_014765"	"TOMM20"	"Chr:1q42"	7.029009342	8.159049988	7.80086565	8.029042244	8.451982498	7.09299469	7.935571194	8.21846962	7.026289463	8.085396767	7.630850315	7.779372215	7.525043964	7.246564865	8.094650269	8.377450943	8.335544586	7.262185574	7.388812542	7.398011208	8.500812531	8.144828796	8.204705238	7.954019547	8.05291748	6.573149681	7.898786068	8.219884872	7.547569752	7.781896591	7.754817486	6.962538242	7.374853134
"33"	"200663_at"	"CD63 molecule"	"NM_001780"	"CD63"	"Chr:12q12-q13"	10.35550404	11.43284225	10.57022667	11.1344738	11.06319237	10.59525299	10.66207027	10.63666725	10.12056255	11.03385353	10.84697437	10.7269783	11.07577515	10.24265766	11.54480076	11.42278004	11.53797436	11.30052471	11.01084995	11.35919285	11.39905548	11.18069935	11.3380518	11.63762379	11.77420807	10.92577076	12.03970432	11.37521648	11.63705921	11.59147167	11.39891338	11.0775938	11.57419205
"34"	"200665_s_at"	"secreted protein, acidic, cysteine-rich (osteonectin)"	"NM_003118"	"SPARC"	"Chr:5q31.3-q32"	11.04890919	9.917574883	11.85394669	10.0011282	11.8678751	10.49743748	11.30159378	10.51546383	10.41931438	10.77719212	10.61468506	10.49260807	12.28426933	9.652162552	12.19342041	12.22480011	12.02019691	12.23343372	12.4378891	11.98386478	12.16128349	11.97417831	12.16006851	12.31639957	12.54829025	11.74757195	11.69982433	11.386796	12.00700855	12.17865849	11.76766205	11.82054234	12.28553009
"35"	"200678_x_at"	"granulin"	"NM_002087"	"GRN"	"Chr:17q21.32"	8.285003662	8.347934723	8.427978516	8.272117615	8.716335297	7.772965908	8.678110123	8.655143738	8.00557518	8.865485191	8.148518562	8.524090767	8.929233551	8.063402176	9.31816864	8.845866203	8.878962517	8.739435196	9.358812332	8.704739571	9.396886826	9.357796669	9.332820892	9.047958374	9.853578568	9.016508102	9.664199829	9.60525322	9.196483612	9.592385292	9.177835464	8.582872391	9.082863808
"36"	"200691_s_at"	"heat shock 70kDa protein 9 (mortalin)"	"BC000478"	"HSPA9"	"Chr:5q31.1"	9.515342712	9.672914505	8.998401642	8.958743095	9.827554703	9.075353622	9.023797035	9.940526009	8.533631325	9.845127106	9.97908783	9.613668442	9.35548687	8.980728149	9.187019348	9.244523048	9.053256989	8.896183014	8.577644348	8.731664658	9.296369553	8.35710907	8.813443184	9.542935371	9.337165833	8.219644547	8.855901718	9.421163559	8.457847595	9.483773232	9.70300293	8.321219444	9.170825958
"37"	"200692_s_at"	"heat shock 70kDa protein 9 (mortalin)"	"NM_004134"	"HSPA9"	"Chr:5q31.1"	8.911463737	8.691304207	8.452133179	8.511191368	9.098145485	8.237518311	8.505772591	9.078773499	8.060418129	8.640402794	9.094322205	9.027339935	8.544382095	8.131644249	8.440105438	8.407957077	8.258266449	8.001054764	7.925551891	8.240381241	8.494950294	7.990356445	8.33655262	8.515000343	8.775401115	7.564189911	8.199885368	9.015587807	7.809445858	8.859542847	8.763928413	7.716627598	8.491974831
"38"	"200693_at"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"	"NM_006826"	"YWHAQ"	"Chr:2p25.1"	9.058309555	8.492014885	8.964193344	8.406173706	9.083662033	8.234564781	8.781047821	9.323831558	8.198579788	8.720845222	8.913425446	8.737656593	9.506075859	8.261170387	9.61585331	9.514936447	9.477795601	8.857092857	9.035046577	9.315937996	9.690876007	9.13849926	9.410324097	9.61550808	9.360078812	8.262618065	9.522378922	9.271735191	9.253526688	9.393086433	9.3075037	8.704982758	9.098830223
"39"	"200698_at"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"	"AL542253"	"KDELR2"	"Chr:7p22.1"	7.41956377	7.475147724	8.179142952	7.661577225	8.439573288	7.28497076	7.633949757	7.726741791	7.190065861	7.631052017	7.832611561	7.919654846	8.757094383	7.365369797	8.319787025	9.365181923	8.505103111	8.071371078	7.473433495	7.869470596	8.981318474	8.140365601	8.429771423	8.628533363	8.474036217	7.726752758	8.832180023	8.009928703	8.357990265	8.089196205	8.750952721	8.116147995	7.987376213
"40"	"200700_s_at"	"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"	"NM_006854"	"KDELR2"	"Chr:7p22.1"	7.93328619	8.216820717	8.600939751	8.508282661	8.215827942	7.720571995	8.41467762	8.637276649	7.518170357	8.73552227	8.407690048	8.55238533	9.075721741	7.662401676	9.052049637	9.798128128	9.05807972	8.391665459	8.343958855	8.30129528	9.932112694	7.931684971	9.187362671	8.692562103	9.048314095	8.141635895	9.585578918	8.801388741	9.023554802	9.031783104	8.803199768	8.437706947	8.885835648
"41"	"200701_at"	"Niemann-Pick disease, type C2"	"NM_006432"	"NPC2"	"Chr:14q24.3"	7.878640175	8.727835655	8.420006752	8.298857689	9.071417809	8.080661774	8.600652695	8.476974487	7.72325325	8.517808914	8.819511414	8.413633347	8.977797508	8.119360924	9.625505447	9.395134926	8.872211456	9.589111328	9.571722984	9.090467453	9.854948997	9.211343765	9.717048645	9.719399452	9.911910057	8.774058342	9.685182571	9.761444092	9.501566887	9.712274551	9.438195229	8.795545578	9.152317047
"42"	"200703_at"	""	"NM_003746"	""	""	7.707871914	8.712701797	8.019429207	6.929004669	8.479138374	7.239750385	7.54336071	7.970388412	7.978816509	8.525232315	8.382406235	8.279643059	8.930673599	7.561272144	9.329345703	9.652370453	9.65780735	9.073560715	9.107451439	8.588488579	9.863204002	8.588449478	8.651717186	9.984663963	9.354031563	8.057414055	8.993201256	8.851284981	9.235833168	9.409439087	9.138132095	8.473869324	9.469443321
"43"	"200709_at"	"FK506 binding protein 1A, 12kDa"	"NM_000801"	"FKBP1A"	"Chr:20p13"	8.793736458	9.072510719	9.437605858	8.868876457	9.73624897	8.385783195	9.048826218	9.447631836	8.185504913	9.202376366	8.945285797	9.437664986	10.10555935	8.262267113	9.9929533	10.14612484	9.403618813	9.533233643	9.261259079	9.485648155	9.96035099	9.491167068	9.837996483	9.499693871	9.824230194	8.830854416	10.23770237	9.568068504	9.878931046	10.14825058	10.06110382	9.350553513	9.451994896
"44"	"200710_at"	"acyl-Coenzyme A dehydrogenase, very long chain"	"NM_000018"	"ACADVL"	"Chr:17p13-p11"	10.69903755	11.83153725	10.81570339	10.77482414	11.52758026	11.31216908	10.95571327	11.66213608	10.67951679	11.3879776	11.41599941	11.43682003	11.73849773	10.56988621	11.11468697	10.1996603	9.118868828	11.08129215	11.02950668	10.76456928	10.49631882	10.88831806	10.55103779	11.10691643	10.95912457	10.47770786	10.52648354	11.43910694	9.957315445	11.3226862	10.69500446	9.828522682	10.5725832
"45"	"200726_at"	"protein phosphatase 1, catalytic subunit, gamma isoform"	"NM_002710"	"PPP1CC"	"Chr:12q24.1-q24.2"	8.0796175	9.360701561	8.652351379	9.195271492	9.614534378	8.905459404	8.790406227	9.38164711	8.293043137	9.799987793	9.505669594	9.742789268	9.534993172	9.037342072	9.667518616	9.390022278	9.052843094	8.98004818	8.60741806	8.745223045	9.749511719	9.255218506	8.962067604	9.376418114	8.824028969	7.593638897	8.91738224	9.369193077	9.040681839	9.392502785	8.872174263	8.413676262	9.156511307
"46"	"200728_at"	"ARP2 actin-related protein 2 homolog (yeast)"	"BE566290"	"ACTR2"	"Chr:2p14"	7.704105377	8.042527199	8.385408401	8.150617599	9.039813995	7.298198223	7.969222546	8.753006935	7.236024857	8.026154518	8.405767441	8.576181412	8.627446175	7.639133453	8.676631927	8.997234344	8.484688759	8.445765495	8.231719017	8.49515152	9.365707397	8.599573135	8.461185455	9.082766533	8.877078056	7.781601429	9.151783943	8.604933739	8.846318245	8.523753166	8.602210999	8.44879055	8.90467453
"47"	"200730_s_at"	"protein tyrosine phosphatase type IVA, member 1"	"BF576710"	"PTP4A1"	"Chr:6q12"	6.496364594	6.641089439	6.459622383	8.488206863	6.58810854	7.512453556	7.340177536	6.809988976	6.611811161	8.015212059	8.095848083	8.56704998	8.538694382	7.805370808	6.606248379	7.345619678	8.010252953	6.518283844	6.260806561	6.830288887	6.559549332	6.640443325	6.827510357	6.901631832	7.139922619	6.324843407	6.711230278	7.337551117	7.071063995	7.170446396	7.713853359	6.772013664	7.612532616
"48"	"200732_s_at"	"protein tyrosine phosphatase type IVA, member 1"	"AL578310"	"PTP4A1"	"Chr:6q12"	8.825287819	9.724680901	8.805866241	10.9742136	9.289803505	9.727836609	9.570901871	9.492191315	8.834403038	10.88182068	10.22274208	10.57584667	10.49706936	10.29510593	8.952212334	9.305202484	10.00074482	8.882786751	8.754849434	9.124239922	9.76530838	9.661138535	8.834451675	9.332419395	9.75111866	8.512261391	9.081647873	9.433554649	9.414922714	9.336277962	10.32082081	9.16651535	9.770260811
"49"	"200733_s_at"	"protein tyrosine phosphatase type IVA, member 1"	"U48296"	"PTP4A1"	"Chr:6q12"	4.914715767	6.197563648	5.031114578	6.798707008	5.782762527	5.76000452	6.20240593	5.783713818	5.202718735	7.312769413	6.735546589	7.008393764	7.208929062	6.7437253	5.425918579	5.672895908	6.474716663	5.18735981	5.03458786	5.810117722	5.681084633	5.76000452	5.513267517	5.787294388	5.936876297	5.094528198	5.76000452	6.155990124	5.70347023	6.062465668	6.521556854	5.572089195	6.163741589
"50"	"200736_s_at"	"glutathione peroxidase 1"	"NM_000581"	"GPX1"	"Chr:3p21.3"	8.200673103	7.954518318	8.344081879	7.458122253	8.706672668	7.163949966	7.300643921	8.670833588	7.26627779	8.22611618	8.370727539	7.871809006	8.396077156	7.584434986	9.093676567	8.619920731	8.526914597	8.334136009	8.750300407	8.338561058	8.728675842	8.271805763	8.883777618	8.544722557	9.13613987	8.217180252	9.723573685	9.542442322	8.218232155	9.663337708	9.044099808	7.502128601	8.286013603
"51"	"200744_s_at"	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	"AI741124"	"GNB1"	"Chr:1p36.33"	7.151082039	6.828977108	7.266614914	6.999673367	7.755921841	6.79122591	6.884039402	7.383791924	6.564122677	6.77610445	7.077598572	7.346399307	8.014965057	6.987600327	7.772582054	8.135773659	6.899708271	7.207585812	7.353964806	7.376944065	8.004150391	7.179902554	7.188283443	7.162267685	8.137202263	6.922654152	7.898786068	7.926477909	7.193061829	7.873263836	7.152986526	6.961082935	7.482847691
"52"	"200746_s_at"	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	"NM_002074"	"GNB1"	"Chr:1p36.33"	8.344552994	8.41919899	8.59442234	8.119610786	9.263896942	8.036392212	8.528539658	8.675907135	7.875619411	8.538297653	8.55348587	8.159464836	8.99270916	7.900112152	9.329709053	9.423707962	8.727218628	8.488204002	9.038694382	8.589746475	9.542005539	8.885492325	9.010110855	8.969678879	9.196623802	8.496332169	9.072118759	9.216923714	8.797947884	9.178988457	8.822775841	8.215492249	8.675167084
