ID;chromosome;Start_coord;End_coord;Blood;SC_Fat;Muscle;Gene_centric;CGI_centric;Pval;Pval_corrected
cg00083659;chr22;37404577;37404577;.11866044;.47920586;.745246637;Proximal promoter;Non CGI;1.84E-15;1
cg00083937;chr22;51039805;51039805;.679713637;.606879473;.592307173;Gene body;CGI Shore;.064041792;0
cg00087182;chr22;24302043;24302043;.946290092;.947281699;.949347193;Gene body;CGI Shore;.881731227;0
cg00089100;chr22;26922951;26922951;.8439067;.817083916;.42469974;Gene body;Non CGI;5.73E-14;1
cg00090674;chr22;50446678;50446678;.841706106;.766256576;.690891698;Gene body;CGI Shore;3E-06;1
cg00093544;chr22;30901640;30901640;.233959429;.171647152;.110167164;Proximal promoter;CpG islands;.004225137;0
cg00094155;chr22;51021438;51021438;.087851405;.092131378;.105397632;Proximal promoter;CpG islands;.039934619;0
cg00097550;chr22;38821039;38821039;.826929586;.830363222;.765598292;Downstream;CGI Shore;.007649627;0
cg00099240;chr22;33454632;33454632;.598086795;.556770805;.556449267;Proximal promoter;CGI Shore;.473784636;0
cg00101350;chr22;39883192;39883192;.935447444;.579762641;.650144428;Proximal promoter;CGI Shore;1.97E-16;1
cg00101453;chr22;30685584;30685584;.050257434;.063370055;.037590458;Proximal promoter;CpG islands;.423014102;0
cg00101932;chr22;45097955;45097955;.066213926;.06875357;.060883029;Proximal promoter;CpG islands;.520120946;0
cg00106609;chr22;50714562;50714562;.760431765;.775503284;.609056535;Gene body;CGI Shore;1.35E-06;1
cg00107488;chr22;19930437;19930437;.13711346;.288327878;.248824837;Proximal promoter;CGI Shore;3.08E-06;1
cg00107490;chr22;19509318;19509318;.759202849;.519214344;.352712596;Downstream;CGI Shore;1.38E-13;1
cg00107982;chr22;37813098;37813098;.038582061;.226345986;.271272384;Gene body;CGI Shelf;6.96E-05;0
cg00108569;chr22;24819864;24819864;.0596742;.066102142;.069983083;Distal promoter;CpG islands;.342719787;0
cg00110039;chr22;17638932;17638932;.846420716;.757453795;.442254267;Proximal promoter;CGI Shore;2.9E-13;1
cg00111823;chr22;38479215;38479215;.9268843;.966407783;.970926027;Proximal promoter;CGI Shore;.005041992;0
cg00115040;chr22;22011917;22011917;.127282137;.153706118;.109218937;Distal promoter;CpG islands;.562243055;0
cg00115102;chr22;22652334;22652334;.538697564;.550685562;.547136368;Proximal promoter;Non CGI;.784886655;0
cg00117651;chr22;45809523;45809523;.039242673;.029725399;.017918788;Proximal promoter;CpG islands;.057690393;0
cg00117914;chr22;50479197;50479197;.887696332;.909024232;.908038504;Intergenic;Non CGI;.169369164;0
cg00123324;chr22;50875752;50875752;.95476402;.957551101;.94920735;Gene body;CpG islands;.071471198;0
cg00127150;chr22;22862144;22862144;.745529363;.817217326;.89440624;Gene body;CGI Shore;.000110818;0
cg00127487;chr22;29600139;29600139;.541947178;.833908891;.771717678;Distal promoter;CGI Shore;9.64E-07;1
cg00130778;chr22;18956389;18956389;.695916637;.640242169;.729785828;Distal promoter;CGI Shore;.001699674;0
cg00131758;chr22;18275234;18275234;.75582848;.735860459;.766779918;Gene body;CGI Shore;.153612392;0
cg00134415;chr22;38856689;38856689;.585060776;.446461181;.396577752;Distal promoter;CGI Shore;2.75E-08;1
cg00135841;chr22;18737348;18737348;.820214046;.839019601;.85196149;Intergenic;CpG islands;.78555386;0
cg00136736;chr22;29949905;29949905;.057677588;.063265901;.066442631;Proximal promoter;CGI Shore;.498546936;0
cg00140479;chr22;21356515;21356515;.067441122;.063188925;.071977869;Proximal promoter;CpG islands;.601540703;0
cg00141308;chr22;44725065;44725065;.506536737;.505626001;.611032317;Intergenic;CGI Shore;.003737982;0
cg00142150;chr22;38071001;38071001;.082567719;.082476002;.078516994;Proximal promoter;CGI Shelf;.768684758;0
cg00143809;chr22;50720552;50720552;.80814305;.872549143;.503889466;Gene body;CpG islands;6.29E-10;1
cg00146334;chr22;18110190;18110190;.861653354;.878811025;.885818409;Gene body;CGI Shore;.143449423;0
cg00147172;chr22;46423604;46423604;.486959357;.200036912;.097949225;Intergenic;CpG islands;8.14E-05;0
cg00147509;chr22;48917166;48917166;.631322712;.590729501;.648001554;Gene body;Non CGI;.117071411;0
cg00148558;chr22;20718691;20718691;.764995358;.7789187;.801415105;Intergenic;CGI Shelf;.313484385;0
cg00149397;chr22;26986241;26986241;.028895416;.027066905;.024167679;Proximal promoter;CpG islands;.603652097;0
cg00152646;chr22;27014548;27014548;.940175345;.957617902;.966694459;Proximal promoter;Non CGI;.227340531;0
cg00156001;chr22;50195025;50195025;.889993922;.873109402;.857416044;Gene body;CGI Shore;.02037856;0
cg00159439;chr22;38597193;38597193;.60249857;.700495456;.432309325;Proximal promoter;CGI Shore;1.18E-10;1
cg00159442;chr22;41864973;41864973;.051658646;.053359154;.054350162;Proximal promoter;CpG islands;.834303004;0
cg00162046;chr22;20006956;20006956;.812674672;.84486275;.882642033;Distal promoter;CGI Shore;5.48E-07;1
cg00164189;chr22;30821186;30821186;.50143672;.533821422;.53038804;Proximal promoter;CGI Shore;.309486517;0
cg00164335;chr22;31503579;31503579;.079830661;.100060095;.085213124;Proximal promoter;CpG islands;.765387569;0
cg00164898;chr22;50709127;50709127;.06010305;.067354346;.164945764;Proximal promoter;CpG islands;4.19E-13;1
cg00166741;chr22;38668535;38668535;.078544626;.086638165;.093268264;Proximal promoter;CpG islands;.033521273;0
cg00167763;chr22;43819240;43819240;.806981632;.764078416;.641511666;Gene body;CGI Shore;1.54E-08;1
cg00167958;chr22;42677969;42677969;.630039429;.670584876;.7375466;Intergenic;CGI Shore;1.21E-06;1
cg00171192;chr22;17518345;17518345;.531419652;.487101447;.495333606;Gene body;CpG islands;.070991592;0
cg00179921;chr22;39927437;39927437;.690674609;.535177173;.593080122;Gene body;CGI Shore;2.32E-08;1
cg00180932;chr22;34319904;34319904;.074042022;.075232842;.074602406;Distal promoter;CGI Shore;.985318236;0
cg00182256;chr22;49376518;49376518;.833551755;.484438716;.646966256;Intergenic;CpG islands;5.85E-09;1
cg00184884;chr22;31892343;31892343;.051769238;.05411923;.057878736;Proximal promoter;CpG islands;.450907185;0
cg00185829;chr22;50064374;50064374;.082409808;.099062182;.068693306;Intergenic;CGI Shore;.818517722;0
cg00187244;chr22;41492007;41492007;.688727727;.582233106;.661024355;Gene body;CGI Shelf;.001290144;0
cg00187327;chr22;28191781;28191781;.844850964;.862957486;.589389;Gene body;CGI Shore;1.28E-10;1
cg00189176;chr22;24132508;24132508;.897763567;.894209768;.908040363;Gene body;CGI Shelf;.117136613;0
cg00189989;chr22;19513176;19513176;.791046119;.612726494;.80231373;Proximal promoter;CGI Shore;2.13E-09;1
cg00191625;chr22;40021996;40021996;.384776873;.422897166;.619121496;Gene body;Non CGI;6.95E-10;1
cg00192046;chr22;20284604;20284604;.808009425;.725121581;.731164385;Intergenic;CGI Shore;.004463373;0
cg00199549;chr22;35795374;35795374;.883420588;.904551683;.867868807;Proximal promoter;CGI Shore;.020620959;0
cg00204782;chr22;19753364;19753364;.127786453;.477993153;.505523511;Gene body;CpG islands;7.4E-10;1
cg00207926;chr22;37915326;37915326;.045705195;.049079076;.044668626;Proximal promoter;CpG islands;.689919359;0
cg00209037;chr22;46443395;46443395;.488129751;.671339935;.640487484;Distal promoter;CGI Shelf;9.1E-05;0
cg00209066;chr22;50218923;50218923;.910524666;.885119917;.898145879;Proximal promoter;CGI Shore;.004775601;0
cg00209484;chr22;40059157;40059157;.875321992;.736993438;.795501301;Gene body;CGI Shore;3.7E-07;1
cg00210133;chr22;50632714;50632714;.822113354;.823273792;.788989454;Gene body;CpG islands;.0015661;0
cg00215521;chr22;17650811;17650811;.873285659;.886804695;.902099375;Distal promoter;CGI Shore;.00128512;0
cg00218103;chr22;46465977;46465977;.117914027;.086923518;.065072687;Intergenic;CpG islands;.034562893;0
cg00218945;chr22;43265579;43265579;.900532377;.902812711;.903337722;Downstream;CGI Shore;.916744872;0
cg00219303;chr22;38146969;38146969;.681208345;.633143152;.640474591;Gene body;CGI Shelf;.177950421;0
cg00222175;chr22;34049875;34049875;.75635355;.731161648;.86252874;Gene body;CGI Shelf;1.68E-06;1
cg00223715;chr22;49063003;49063003;.79292885;.699725898;.576876265;Gene body;CGI Shore;6E-09;1
cg00226961;chr22;49931382;49931382;.631506061;.677061713;.702232305;Intergenic;CGI Shelf;.009989052;0
cg00227156;chr22;18463646;18463646;.223887145;.172902181;.166004309;Proximal promoter;Non CGI;.142690075;0
cg00229809;chr22;46761622;46761622;.728705717;.575324755;.615526304;Gene body;CGI Shore;1.04E-05;0
cg00232059;chr22;45131501;45131501;.867239477;.775134459;.811570782;Gene body;CGI Shore;.004188994;0
cg00232685;chr22;29977063;29977063;.033468267;.045439698;.057760021;Proximal promoter;CpG islands;.015064975;0
cg00234961;chr22;50246573;50246573;.130861188;.094044915;.078611584;Proximal promoter;CGI Shore;.00035561;0
cg00236249;chr22;20789017;20789017;.851236108;.876069363;.89165966;Gene body;CGI Shore;.007078934;0
cg00236924;chr22;30752522;30752522;.080688753;.090085374;.084904576;Proximal promoter;CGI Shore;.490364633;0
cg00238182;chr22;43621788;43621788;.779184497;.902461285;.929703599;Gene body;CGI Shore;1.33E-06;1
cg00241712;chr22;43116077;43116077;.115879233;.101880832;.164377877;Gene body;CGI Shore;.000119643;0
cg00243272;chr22;50720468;50720468;.711777479;.790787769;.42808584;Gene body;CpG islands;9.13E-11;1
cg00243527;chr22;30640594;30640594;.557834064;.59774679;.633761642;Gene body;CGI Shore;.907518618;0
cg00244524;chr22;46646378;46646378;.025142504;.022600391;.021355088;Proximal promoter;CpG islands;.444481143;0
cg00248449;chr22;38790207;38790207;.500470696;.631176579;.718607286;Gene body;CGI Shelf;6.97E-09;1
cg00253346;chr22;42324281;42324281;.798427959;.833304551;.840670401;Proximal promoter;CGI Shore;.009051691;0
cg00253398;chr22;46833806;46833806;.83741184;.675337518;.537814969;Gene body;CGI Shore;1.35E-12;1
cg00254480;chr22;32058214;32058214;.01849904;.02136575;.017961076;Intergenic;CpG islands;.591530157;0
cg00256281;chr22;41985642;41985642;.142588325;.168065017;.142906154;Proximal promoter;CpG islands;.541021119;0
cg00256932;chr22;51041732;51041732;.728852871;.687130363;.698911041;Proximal promoter;CGI Shore;.458216194;0
cg00264208;chr22;42466584;42466584;.092663609;.104358124;.096685462;Proximal promoter;CpG islands;.325702948;0
cg00265788;chr22;37912254;37912254;.901064328;.907021277;.682757205;Gene body;CpG islands;4.96E-11;1
cg00266865;chr22;29977949;29977949;.63025224;.622143355;.652903501;Proximal promoter;CGI Shore;.682782043;0
cg00267013;chr22;49635759;49635759;.658521089;.677009061;.674450623;Intergenic;CGI Shore;.397832943;0
cg00270625;chr22;51017019;51017019;.777238736;.487181123;.233706253;Proximal promoter;CpG islands;8.01E-11;1
cg00273220;chr22;46667083;46667083;.808097525;.845269121;.858420926;Gene body;CGI Shelf;.076001882;0
cg00276389;chr22;37466935;37466935;.539557707;.459507963;.392236537;Gene body;CGI Shore;1.89E-05;0
cg00277246;chr22;36682870;36682870;.776585088;.627657147;.481785935;Gene body;Non CGI;4.98E-07;1
cg00278028;chr22;28196834;28196834;.035835736;.026470965;.026038034;Gene body;CpG islands;.355859486;0
cg00279778;chr22;45102452;45102452;.659365893;.710644022;.723659819;Gene body;CGI Shelf;3.99E-05;0
cg00280270;chr22;21320131;21320131;.804059148;.80157221;.864177513;Proximal promoter;CGI Shore;.003831933;0
cg00280761;chr22;19132003;19132003;.047805056;.054094334;.040863408;Proximal promoter;CpG islands;.52428998;0
cg00280814;chr22;23745389;23745389;.58736317;.612228562;.654443082;Proximal promoter;Non CGI;.003298167;0
cg00281467;chr22;23522460;23522460;.127208914;.069078496;.064155475;Proximal promoter;CGI Shore;.000392728;0
cg00283524;chr22;44639906;44639906;.6159492;.633094754;.63134419;Gene body;Non CGI;.780960319;0
cg00284328;chr22;17639992;17639992;.108288272;.128034655;.107133825;Proximal promoter;CpG islands;.175047649;0
cg00286513;chr22;49017361;49017361;.860974409;.878987421;.896911445;Gene body;CGI Shore;.015848318;0
cg00289081;chr22;27053470;27053470;.032208106;.027840388;.028023956;Proximal promoter;CpG islands;.620418218;0
cg00290218;chr22;25335842;25335842;.782767526;.840072822;.85174346;Proximal promoter;Non CGI;.012980893;0
cg00290605;chr22;32366707;32366707;.045825506;.046121116;.040744363;Intergenic;CpG islands;.825630278;0
cg00291051;chr22;46284460;46284460;.699074371;.776164676;.828322277;Intergenic;CGI Shore;1.83E-05;0
cg00292662;chr22;38071168;38071168;.114384049;.140974693;.132351832;Proximal promoter;CGI Shore;.062515185;0
cg00292896;chr22;18985500;18985500;.605694041;.565314587;.387614873;Downstream;CpG islands;3.38E-05;0
cg00293631;chr22;28315337;28315337;.027943922;.029153606;.033713985;Proximal promoter;CpG islands;.160144846;0
cg00298405;chr22;46835192;46835192;.664866771;.703522811;.740071897;Gene body;CpG islands;.005499625;0
cg00299943;chr22;41613692;41613692;.195717404;.22590119;.427630248;Gene body;Non CGI;.00024129;0
cg00304423;chr22;22875030;22875030;.820881964;.629144615;.655703663;Proximal promoter;Non CGI;7.5E-07;1
cg00305281;chr22;42316176;42316176;.217945221;.148273929;.215607604;Distal promoter;CpG islands;.044147497;0
cg00308159;chr22;28198591;28198591;.120812271;.211045747;.49408151;Proximal promoter;CpG islands;1.1E-11;1
cg00311921;chr22;19119464;19119464;.69373092;.713637818;.720415684;Gene body;CpG islands;.372209834;0
cg00319157;chr22;47052970;47052970;.74711259;.807758054;.827521054;Gene body;CGI Shore;3.61E-05;0
cg00320749;chr22;39715143;39715143;.093321785;.111341411;.116175208;Proximal promoter;CGI Shore;.02438783;0
cg00322201;chr22;50736855;50736855;.727120595;.855831871;.896185725;Gene body;CGI Shore;5.5E-06;1
cg00322212;chr22;28072555;28072555;.743765619;.859194859;.872427854;Intergenic;CGI Shore;.000112623;0
cg00323501;chr22;37464839;37464839;.185631941;.134474866;.101952609;Gene body;CGI Shore;.001168886;0
cg00323916;chr22;38057185;38057185;.332935135;.375585863;.277777587;Gene body;CGI Shore;1.78E-05;0
cg00326231;chr22;19278249;19278249;.111453796;.360760338;.216718122;Gene body;CGI Shore;3.2E-09;1
cg00331032;chr22;38339972;38339972;.873656817;.871480108;.890063009;Gene body;Non CGI;.036861692;0
cg00332021;chr22;17083412;17083412;.126856319;.086309755;.055171092;Gene body;CpG islands;.123857206;0
cg00332575;chr22;36925175;36925175;.086045514;.10337049;.097574452;Proximal promoter;CpG islands;.042475432;0
cg00334274;chr22;30474915;30474915;.707985372;.681238699;.715724497;Distal promoter;CGI Shore;.519518661;0
cg00334293;chr22;47608904;47608904;.929183682;.94328302;.965273814;Intergenic;CpG islands;.004809401;0
cg00334863;chr22;42779093;42779093;.710602779;.800732664;.80536468;Gene body;Non CGI;.003551365;0
cg00335892;chr22;21213899;21213899;.402978463;.344661352;.343663438;Proximal promoter;CGI Shore;.084476931;0
cg00341732;chr22;31479561;31479561;.809354048;.604445083;.67070877;Proximal promoter;CGI Shore;4.71E-08;1
cg00342313;chr22;42074919;42074919;.864285383;.84504086;.867090743;Gene body;CGI Shelf;.203477846;0
cg00343092;chr22;43547974;43547974;.084636325;.075567343;.115234348;Proximal promoter;CpG islands;.016411952;0
cg00344801;chr22;46685728;46685728;.552769183;.654173763;.483572305;Gene body;CpG islands;7.92E-05;0
cg00347775;chr22;43829831;43829831;.733825447;.756515827;.713248521;Gene body;CGI Shore;.260906452;0
cg00349050;chr22;51001330;51001330;.100088631;.117300859;.093150124;Proximal promoter;CpG islands;.66408017;0
cg00350247;chr22;29784694;29784694;.117222162;.12932348;.112415721;Proximal promoter;CpG islands;.551655812;0
cg00352043;chr22;38863594;38863594;.144892702;.116539026;.114253134;Proximal promoter;CGI Shore;.071888174;0
cg00361695;chr22;50699354;50699354;.164611643;.134009937;.088190746;Gene body;CGI Shore;.002541097;0
cg00364281;chr22;37654641;37654641;.658013;.656724845;.57579915;Intergenic;CGI Shore;.00103807;0
cg00365963;chr22;26895362;26895362;.885303481;.897614659;.837707523;Gene body;CpG islands;.000671781;0
cg00365989;chr22;30819400;30819400;.089939189;.095245971;.08569754;Gene body;CpG islands;.434126798;0
cg00367327;chr22;44419885;44419885;.103211101;.120108971;.099727757;Proximal promoter;CpG islands;.40324325;0
cg00369357;chr22;51018459;51018459;.855536174;.838791468;.847562774;Proximal promoter;CGI Shore;.4572394;0
cg00369909;chr22;42060908;42060908;.885966327;.860368615;.894721368;Downstream;CGI Shore;.011103;0
cg00370820;chr22;39101671;39101671;.04358005;.071581139;.079630156;Proximal promoter;CGI Shore;.003000666;0
cg00372774;chr22;22902198;22902198;.674445626;.725043062;.768943512;Proximal promoter;CGI Shore;.00140329;0
cg00373397;chr22;49146166;49146166;.832915964;.809973215;.840160844;Gene body;CpG islands;.09898602;0
cg00378158;chr22;34314305;34314305;.720799971;.543066024;.357489159;Gene body;CGI Shore;7.17E-09;1
cg00380150;chr22;31885763;31885763;.071818553;.060643995;.069279723;Proximal promoter;CpG islands;.355613498;0
cg00384653;chr22;20237197;20237197;.823850925;.755905353;.655461883;Proximal promoter;Non CGI;2.55E-07;1
cg00389515;chr22;40766657;40766657;.028971346;.026104137;.023910244;Proximal promoter;CpG islands;.376408605;0
cg00390484;chr22;20019695;20019695;.5006993;.88700848;.928287866;Proximal promoter;Non CGI;1.93E-08;1
cg00391229;chr22;50845326;50845326;.893079464;.909135643;.912829665;Gene body;CpG islands;.115927389;0
cg00393435;chr22;39052596;39052596;.023237614;.025500362;.028335463;Proximal promoter;CpG islands;.478757415;0
cg00395296;chr22;42481778;42481778;.76152266;.869250128;.874530027;Gene body;Non CGI;1.47E-05;0
cg00395632;chr22;50709221;50709221;.054354476;.057853225;.064714812;Proximal promoter;CpG islands;.033290062;0
cg00395825;chr22;19645893;19645893;.876613471;.915891574;.920609946;Intergenic;CGI Shore;3.66E-05;0
cg00399895;chr22;39472177;39472177;.79993055;.731308879;.772179566;Proximal promoter;Non CGI;.661750031;0
cg00399938;chr22;20118646;20118646;.054505264;.063970965;.037966479;Proximal promoter;CpG islands;.371278282;0
cg00400085;chr22;41943815;41943815;.662589589;.704377832;.725796494;Distal promoter;CGI Shelf;.005569113;0
cg00400964;chr22;42325444;42325444;.835969743;.686255169;.593280819;Distal promoter;CGI Shelf;8.68E-10;1
cg00401773;chr22;21022733;21022733;.756860069;.692128698;.66931203;Intergenic;CpG islands;1.71E-05;0
cg00406844;chr22;32753939;32753939;.696899703;.738968493;.718104041;Proximal promoter;Non CGI;.184292717;0
cg00408876;chr22;26936146;26936146;.869582148;.879593928;.893055091;Gene body;CGI Shore;.0897039;0
cg00410034;chr22;32869991;32869991;.589216528;.633788996;.677796015;Proximal promoter;CGI Shore;.008900465;0
cg00411011;chr22;20848478;20848478;.881912047;.896895387;.890255817;Gene body;CGI Shore;.17089721;0
cg00411358;chr22;24577142;24577142;.8941901;.602183112;.674642523;Proximal promoter;Non CGI;3.76E-10;1
cg00414485;chr22;38345745;38345745;.544890204;.595767585;.61486873;Gene body;CGI Shelf;.002812454;0
cg00415497;chr22;50329860;50329860;.111886394;.131295306;.112936535;Intergenic;CpG islands;.382886701;0
cg00417807;chr22;50169628;50169628;.956047577;.947599168;.72013207;Gene body;CpG islands;1.84E-11;1
cg00419702;chr22;38485294;38485294;.18748955;.19491933;.137210347;Gene body;CpG islands;.042973025;0
cg00420879;chr22;42086546;42086546;.807946577;.802782233;.678963176;Proximal promoter;CGI Shore;3.57E-05;0
cg00426976;chr22;51140977;51140977;.503474728;.751058811;.819629714;Gene body;CGI Shore;9.77E-10;1
cg00430484;chr22;38484679;38484679;.807904805;.652779762;.674033658;Gene body;CpG islands;1.08E-07;1
cg00436051;chr22;29663508;29663508;.047727719;.049417018;.055501944;Proximal promoter;CGI Shore;.009911359;0
cg00436663;chr22;38793933;38793933;.101973698;.113574028;.103986843;Gene body;CpG islands;.180460648;0
cg00444884;chr22;48886784;48886784;.163163702;.142849966;.130522945;Gene body;CpG islands;.10569524;0
cg00449189;chr22;22011008;22011008;.14125883;.359811849;.542284944;Distal promoter;CGI Shore;5.69E-15;1
cg00456888;chr22;31476049;31476049;.817056628;.843081133;.858822182;Proximal promoter;CGI Shore;.003336289;0
cg00457495;chr22;49883384;49883384;.759243351;.785106365;.842363591;Intergenic;CpG islands;.110293609;0
cg00458681;chr22;19010419;19010419;.312597773;.599050868;.751366405;Proximal promoter;Non CGI;6.76E-10;1
cg00460457;chr22;41631801;41631801;.884266734;.891035187;.886225013;Gene body;CGI Shore;.700916362;0
cg00465975;chr22;19929557;19929557;.10158499;.108265202;.118069915;Proximal promoter;CGI Shore;.234654994;0
cg00470565;chr22;22469147;22469147;.692528398;.544459657;.651220539;Intergenic;CGI Shore;1.8E-05;0
cg00471110;chr22;30277391;30277391;.814807247;.8368655;.814515169;Distal promoter;CGI Shore;.012698423;0
cg00473311;chr22;42765306;42765306;.037655492;.042962838;.036861627;Intergenic;CGI Shore;.304094884;0
cg00475109;chr22;50312834;50312834;.32735102;.216051637;.208668756;Proximal promoter;CpG islands;.001625433;0
cg00476814;chr22;19974536;19974536;.052160901;.052816459;.052932598;Gene body;CpG islands;.996667726;0
cg00478049;chr22;31556069;31556069;.059284869;.069935389;.065650777;Proximal promoter;CGI Shore;.329053071;0
cg00479208;chr22;50656893;50656893;.92912995;.941622023;.925484084;Gene body;CpG islands;.047275683;0
cg00481629;chr22;48972850;48972850;.150029348;.176572119;.118635068;Gene body;CpG islands;.010818884;0
cg00488512;chr22;19465503;19465503;.07443007;.066041708;.05712617;Gene body;CGI Shore;.116290634;0
cg00488514;chr22;26877690;26877690;.701826887;.723997221;.762474629;Gene body;CGI Shore;.00782292;0
cg00489795;chr22;24041104;24041104;.933013843;.96247412;.64345379;Gene body;Non CGI;3.14E-12;1
cg00490603;chr22;46262041;46262041;.871067078;.89362287;.605784471;Intergenic;CGI Shore;1.41E-10;1
cg00495443;chr22;17568163;17568163;.756075093;.882242275;.908857797;Gene body;CGI Shore;3.46E-07;1
cg00500213;chr22;21337671;21337671;.839191684;.766184744;.796379811;Gene body;CGI Shore;1.17E-05;0
cg00500400;chr22;41487283;41487283;.12213417;.142336157;.136520993;Proximal promoter;CpG islands;.198564181;0
cg00500457;chr22;39055589;39055589;.901620756;.905748237;.860505005;Gene body;CGI Shelf;.000492792;0
cg00500507;chr22;32439391;32439391;.505377917;.477862456;.470034497;Proximal promoter;CpG islands;.653029566;0
cg00501356;chr22;42093980;42093980;.771435712;.7211885;.797105753;Gene body;CGI Shore;.016487193;0
cg00502618;chr22;26952697;26952697;.876533908;.861623477;.458817331;Proximal promoter;Non CGI;1.42E-14;1
cg00503554;chr22;19643744;19643744;.871876302;.880848533;.89559744;Intergenic;CGI Shore;.079334059;0
cg00504285;chr22;20019887;20019887;.508676408;.787406877;.865247649;Proximal promoter;Non CGI;6.86E-14;1
cg00508499;chr22;38054505;38054505;.080877192;.08981117;.085093853;Proximal promoter;CpG islands;.453447905;0
cg00512709;chr22;42915904;42915904;.022833959;.025065223;.029659357;Proximal promoter;CpG islands;.279164283;0
cg00514241;chr22;28193910;28193910;.861085676;.779273349;.517046139;Gene body;CpG islands;7.42E-13;1
cg00514628;chr22;30819337;30819337;.080068172;.083897394;.072147753;Gene body;CGI Shore;.266014614;0
cg00515593;chr22;18114774;18114774;.885997937;.864808043;.833977071;Distal promoter;CGI Shelf;.000858559;0
cg00518989;chr22;31608519;31608519;.072508633;.077494357;.078026494;Proximal promoter;CpG islands;.631146693;0
cg00520380;chr22;31643997;31643997;.538809271;.554144671;.516561742;Proximal promoter;Non CGI;.132043769;0
cg00521399;chr22;20003152;20003152;.565488885;.675678842;.685111683;Gene body;CGI Shore;.00012349;0
cg00524912;chr22;37172668;37172668;.069470737;.079707983;.078935866;Proximal promoter;CpG islands;.214003998;0
cg00528793;chr22;19842837;19842837;.096178318;.106093964;.104417628;Proximal promoter;CpG islands;.615704848;0
cg00533340;chr22;46757380;46757380;.832273828;.816244504;.853291375;Gene body;CGI Shelf;.167053256;0
cg00533811;chr22;51021411;51021411;.056464909;.059145126;.058270161;Proximal promoter;CpG islands;.947513488;0
